0.666666666666667,,,0.5,,,,0.5
family_name,Language [ISO],Glottocode,endangerment_status,Coordinate,Latitude,Longitude,desc_status
Austronesian,Aji‰ [aji],ajie1238,safe,,-21.3029,165.468,grammar
Austronesian,Xƒrƒc—— [ane],xara1244,safe,,-21.7034,165.996,grammar
Austronesian,Yuaga [nua],yuag1237,vulnerable,,-20.5664,164.51,specific_feature
Austronesian,Zire [sih],zire1240,extinct,,-21.6544,165.482,specific_feature
Indo-European,Tayo [cks],tayo1238,definitely endangered,,-22.2277,166.546,grammar
Pidgin,New Caledonian Pidgin French [NA],newc1245,safe,,NA,NA,minimal
