0.666666666666667,,,,0.333333333333333,,,,0.333333333333333
family_name,Language_name,ISO_6393,Glottocode,endangerment_status,Coordinate,Latitude,Longitude,desc_status
Austronesian,Ajië,aji,ajie1238,safe,,-21.3029,165.468,grammar
Austronesian,Xârâcùù,ane,xara1244,safe,,-21.7034,165.996,grammar
Austronesian,Yuaga,nua,yuag1237,vulnerable,,-20.5664,164.51,specific_feature
Austronesian,Zire,sih,zire1240,extinct,,-21.6544,165.482,specific_feature
Indo-European,Tayo,cks,tayo1238,definitely endangered,,-22.2277,166.546,grammar
Pidgin,New Caledonian Pidgin French,NA,newc1245,safe,,NA,NA,minimal
